study_id,source,year,metric,raw_value,raw_unit,minutes_per_day,switches_per_day,sample_size,observation_days,method,population,scope,comparability,normalization_formula,chart_label,source_url,page_or_section,notes
bailey_2001,INTERACT 2001,2001,interruption_performance,,,,,50,,lab,general_population,interruptions,supporting,,"Bailey 2001 · Interruption disrupts performance",https://www.sciencedirect.com/science/article/abs/pii/S074756320500107X,,"Interruptions disrupt task performance and emotional state; degree depends on mental load"
mcfarlane_2002,Human-Computer Interaction,2002,interruption_coordination,,,,,36,,lab,general_population,interruptions,supporting,,"McFarlane 2002 · Negotiation-based best",https://dl.acm.org/doi/10.1207/S15327051HCI1701_2,,"Negotiation-based interruption coordination produced best user performance"
trafton_2003,IJHCS,2003,warning_benefit,4,seconds_saved,,,,,lab,general_population,interruptions,supporting,,"Trafton 2003 · 8 sec warning saves 4 sec",https://www.sciencedirect.com/science/article/abs/pii/S1071581903000235,,"8-second interruption lag saved ~4 seconds at task resumption through rehearsal"
adamczyk_bailey_2004,CHI 2004,2004,breakpoint_timing,,,,,,,lab,general_population,interruptions,supporting,,"Adamczyk 2004 · Coarse breakpoints better",https://interruptions.net/literature/Adamczyk-CHI04-p271-adamczyk.pdf,,"Interruptions at coarse breakpoints (between chunks) elicit smaller resumption costs"
iqbal_bailey_2005,CHI 2005,2005,mental_workload,,,,,12,,lab,general_population,interruptions,supporting,,"Iqbal 2005 · Low workload = less disruption",https://www.researchgate.net/publication/221519304,,"Interrupting at low workload moments caused less resumption lag and annoyance"
fogarty_2005,CHI 2005,2005,sensor_interruptibility,,,,,,,field,programmers,interruptions,supporting,,"Fogarty 2005 · Sensors predict interruptibility",https://dl.acm.org/doi/10.1145/1054972.1055018,,"Simple sensors can estimate human interruptibility for better interruption timing"
chong_siino_2006,CSCW 2006,2006,pair_vs_solo,,,,,242,,field,software_developers,interruptions,supporting,,"Chong 2006 · Pair vs solo interruptions differ",https://www.researchgate.net/publication/220878779,,"242 interruptions analyzed; significant differences between pair and solo programmers"
monk_2008,JEP Applied,2008,duration_demand,,,,,,,lab,general_population,interruptions,supporting,,"Monk 2008 · Longer interruption = longer resume",https://pubmed.ncbi.nlm.nih.gov/19102614/,,"Longer and more demanding interruptions led to longer resumption times"
hp_infomania_2005,HP/King's College,2005,iq_drop,10,points,,,80,,lab,volunteers,interruptions,supporting,,"HP 2005 · 10 IQ point drop distracted",http://drglennwilson.com/Infomania_experiment_for_HP.doc,,"IQ dropped 10 points when juggling phones/emails; temporary distraction effect"
aol_email_2007,AOL/Opinion Research,2007,email_addiction,5,checks_per_day,,5,4025,,survey,email_users,interruptions,supporting,,"AOL 2007 · 15% email addicted",https://www.warnermediagroup.com/newsroom/press-releases/2007/07/26,,"59% with portable devices checked every new message; 15% self-described addicted"
atask_2014,AtTask/Harris Poll,2014,primary_duties,45,percent,264,,150,,survey,enterprise_workers,work_about_work,direct,(55/100)*480,"AtTask 2014 · 45% on primary duties",https://www.prnewswire.com/news-releases,,"Only 45% of work hours on primary duties; meetings (59%) and emails (43%) top killers"
atask_2015,AtTask/Workfront,2015,recovery_time,4.63,hours_per_day,278,,617,,survey,enterprise_workers,interruptions,direct,4.63*60,"AtTask 2015 · 4.63 hrs/day recovery",https://workplaceinsight.net,,"Only 38% time on primary duties; 13.9 interruptions/day; ~20 min recovery each"
jackson_2002,EASE 2002,2002,email_recovery,64,seconds,96,,500,,field,office_workers,interruptions,direct,96*1,"Jackson 2002 · 96 email interrupts/day possible",https://repository.lboro.ac.uk/articles/online_resource/Case_study_evaluating_the_effect_of_email_interruptions/9404807,,"70% emails opened within 6 sec; 64 sec recovery; up to 96 interruptions/day"
weinberg_1992,Quality Software Management,1992,multiproject_loss,20,percent_per_project,96,,,,theory,engineers,task_switching,direct,,"Weinberg 1992 · 20% lost per added project",https://www.scrum.org/resources/blog/financial-cost-task-switching,,"2 projects: 80% productive; 3: 60%; 4: 40%; 5+: <25% productive time"
cellier_eyrolle_1992,Ergonomics,1992,task_switch_interference,,,,,,,lab,general_population,task_switching,supporting,,"Cellier & Eyrolle 1992 · Task interference",https://www.tandfonline.com/doi/abs/10.1080/00140139208967795,,"Task switching requires resource activation/inhibition; slower completion and more errors"
sundstrom_1994,Environment and Behavior,1994,office_noise_impact,,,,,2391,,field,office_workers,interruptions,supporting,,"Sundstrom 1994 · Office noise satisfaction",https://journals.sagepub.com/doi/abs/10.1177/001391659402600204,,"54% of 2391 employees bothered often by noise; linked to reduced satisfaction and performance"
rouncefield_1994,CSCW 1994,1994,constant_interruption,,,,,,,field,office_workers,interruptions,supporting,,"Rouncefield 1994 · Constant interruption",https://interruptions.net/literature/Rouncefield-CSCW94-p275-rouncefield.pdf,,"Ethnographic study documented constant interruption endemic to small office work"
whittaker_1994,CHI 1994,1994,informal_communication,,,,,,,field,office_workers,interruptions,supporting,,"Whittaker 1994 · Informal communication",https://dl.acm.org/doi/10.1145/191666.191771,,"Patterns of informal workplace communication; unscheduled interactions dominate"
hess_detweiler_1994,HFES 1994,1994,interruption_training,,,,,,,lab,general_population,interruptions,supporting,,"Hess & Detweiler 1994 · Interruption training",https://journals.sagepub.com/doi/10.1177/154193129403801814,,"Training can reduce disruptive effects of interruptions"
whittaker_sidner_1996,CHI 1996,1996,email_overload,,,,,20,,field,office_workers,interruptions,direct,,"Whittaker & Sidner 1996 · Email overload coined",https://dl.acm.org/doi/10.1145/238386.238530,,"Coined 'email overload' term; average inbox 2482 messages; 3 user types identified"
pitney_bowes_1998,Pitney Bowes/IFF,1998,message_volume,190,per_day,,190,1000,,survey,knowledge_workers,interruptions,direct,,"Pitney Bowes 1998 · 190 messages/day",https://www.investorrelations.pitneybowes.com,,"Workers receive 190 messages/day; 40% interrupted 6+ times/hour"
zijlstra_1999,J Occupational Organizational Psychology,1999,interrupted_activities,,,,,,,lab,general_population,task_switching,supporting,,"Zijlstra 1999 · Temporal factors mental work",https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1348/096317999166581,,"Interrupted tasks paradoxically completed faster but with increased effort and negative affect"
mcfarlane_1999,INTERACT 1999,1999,interruption_coordination,,,,,36,,lab,general_population,interruptions,supporting,,"McFarlane 1999 · Interruption coordination",https://www.researchgate.net/publication/2599725,,"Compared four methods for coordinating human-computer interruptions"
bailey_2000,IEEE SMC 2000,2000,interruption_performance,15,percent_increase,72,,50,,lab,general_population,interruptions,direct,(15/100)*480,"Bailey 2000 · 3-27% more time 2x errors",https://experts.illinois.edu/en/publications/measuring-the-effects-of-interruptions-on-task-performance-in-the,,"Interruptions caused 3-27% increase in task time; 2x errors; 31-106% more annoyance"
cutrell_2000,CHI 2000,2000,im_interruptions,,,,,,,lab,general_population,interruptions,supporting,,"Cutrell 2000 · IM interruption timing",https://dl.acm.org/doi/10.1145/633292.633351,,"Interruptions during evaluation phase cause significantly longer completion times"
eyrolle_cellier_2000,Applied Ergonomics,2000,field_lab_comparison,,,,,,,field,general_population,interruptions,supporting,,"Eyrolle & Cellier 2000 · Field vs lab results",https://www.sciencedirect.com/science/article/abs/pii/S0003687000000197,,"Effects of interruptions validated across both laboratory and field settings"
kraut_1990,Lawrence Erlbaum,1990,collaboration_patterns,,,,,,,field,scientists,interruptions,supporting,,"Kraut Egido Galegher 1990 · Collaboration contact",https://doi.org/10.4324/9780367814076,,"Physical proximity affects communication patterns; informal contact enables collaboration"
sproull_kiesler_1991,MIT Press,1991,networked_organization,,,,,,,field,organizations,interruptions,supporting,,"Sproull & Kiesler 1991 · Networked connections",https://mitpress.mit.edu/9780262691864/connections/,,"Foundational study on email effects in networked organizations"
